instance,input,start,end,duration,sum_of_cpu,average_memory
cloud-2c4m,159M,2024-12-11T01:29:18Z,2024-12-11T01:31:42Z,110,0.08972429452950265,30466730.666666657
cloud-2c4m,159M,2024-12-11T01:24:15Z,2024-12-11T01:26:31Z,101,0.09012897925786392,39087025.23076923
cloud-2c4m,159M,2024-12-11T00:38:05Z,2024-12-11T00:40:19Z,99,0.04088038918478776,30834957.4736842
cloud-2c4m,145M,2024-12-11T00:34:51Z,2024-12-11T00:36:58Z,92,0.09351126654202117,39121578.66666667
cloud-2c4m,145M,2024-12-11T00:31:56Z,2024-12-11T00:33:51Z,90,0.08373603588764839,28515749.647058826
cloud-2c4m,145M,2024-12-11T00:29:26Z,2024-12-11T00:31:34Z,95,0.10114973112397492,36738974.47619047
cloud-2c4m,145M,2024-12-11T00:26:13Z,2024-12-11T00:28:13Z,94,0.034570154314417,37035506.87179487
cloud-2c4m,133M,2024-12-11T00:23:52Z,2024-12-11T00:25:18Z,59,0.04707733895492739,35620480
cloud-2c4m,133M,2024-12-11T00:20:59Z,2024-12-11T00:22:27Z,60,0.038943543490208364,34512108.307692304
cloud-2c4m,133M,2024-12-11T00:17:17Z,2024-12-11T00:18:55Z,62,0.03513335730061085,36765696.00000001
cloud-2c4m,133M,2024-12-11T00:14:53Z,2024-12-11T00:16:21Z,60,0.03791603578513818,27846053.647058822
cloud-2c4m,159M,2024-10-30T22:54:29Z,2024-10-30T22:56:46Z,104,0.04163776642715823,46095333.743589744
cloud-2c4m,145M,2024-10-30T22:46:16Z,2024-10-30T22:48:21Z,101,0.08084504850856869,34239561.14285715
cloud-2c4m,133M,2024-10-30T22:40:13Z,2024-10-30T22:42:04Z,75,0.039104331752757585,44245464.615384616
cloud-2c8m,159M,2024-12-11T16:53:29Z,2024-12-11T16:55:55Z,120,0.16806750567099624,37135758.222222224
cloud-2c8m,159M,2024-12-11T01:30:35Z,2024-12-11T01:32:54Z,104,0.04296621092974287,34071756.800000004
cloud-2c8m,159M,2024-12-11T01:24:44Z,2024-12-11T01:26:56Z,97,0.03890291258259721,30522511.71929825
cloud-2c8m,159M,2024-12-11T00:38:40Z,2024-12-11T00:41:02Z,108,0.09400928610839951,41552076.800000004
cloud-2c8m,145M,2024-12-11T00:35:32Z,2024-12-11T00:37:39Z,92,0.08845270868579311,37563418.256410256
cloud-2c8m,145M,2024-12-11T00:33:04Z,2024-12-11T00:35:11Z,92,0.06021843522365894,30528398.222222228
cloud-2c8m,145M,2024-12-11T00:30:08Z,2024-12-11T00:32:27Z,104,0.03466350760397547,32252676.49122807
cloud-2c8m,145M,2024-12-11T00:26:37Z,2024-12-11T00:28:48Z,97,0.03672346870508139,38700694.5882353
cloud-2c8m,133M,2024-12-11T00:24:27Z,2024-12-11T00:25:54Z,59,0.02139784610406507,36718045.86666666
cloud-2c8m,133M,2024-12-11T00:21:21Z,2024-12-11T00:22:47Z,59,0.031161994425445254,27315609.6
cloud-2c8m,133M,2024-12-11T00:17:56Z,2024-12-11T00:19:22Z,59,0.019521511054725195,30104063.999999996
cloud-2c8m,133M,2024-12-11T00:15:24Z,2024-12-11T00:17:02Z,62,0.03305253952801528,46758045.538461536
cloud-2c8m,159M,2024-10-30T23:11:25Z,2024-10-30T23:13:50Z,120,0.08002823998641558,67530683.73333335
cloud-2c8m,145M,2024-10-30T23:08:14Z,2024-10-30T23:10:38Z,109,0.0705037904510822,41210396.44444445
cloud-2c8m,133M,2024-10-30T23:03:49Z,2024-10-30T23:05:26Z,68,0.027818654950451216,38980403.2
cloud-2c16m,159M,2024-12-11T16:54:07Z,2024-12-11T16:56:11Z,98,0.01992996905203783,43863790.93333333
cloud-2c16m,159M,2024-12-11T01:31:55Z,2024-12-11T01:33:55Z,94,0.10976794766347961,45461308.95238096
cloud-2c16m,159M,2024-12-11T01:25:16Z,2024-12-11T01:27:19Z,95,0.017167219798130833,35966433.88235293
cloud-2c16m,159M,2024-12-11T01:22:32Z,2024-12-11T01:24:47Z,106,0.016562549399593014,34590157.80392157
cloud-2c16m,145M,2024-12-11T00:36:04Z,2024-12-11T00:38:00Z,89,0.04494828208493241,28304725.333333336
cloud-2c16m,145M,2024-12-11T00:33:42Z,2024-12-11T00:35:41Z,91,0.01870402966481965,33292791.01754386
cloud-2c16m,145M,2024-12-11T00:30:42Z,2024-12-11T00:32:37Z,87,0.018512754962287572,36282769.56862745
cloud-2c16m,145M,2024-12-11T00:27:08Z,2024-12-11T00:29:04Z,87,0.0431505850203977,34379629.71428571
cloud-2c16m,133M,2024-12-11T00:25:13Z,2024-12-11T00:26:37Z,57,0.015804483158324636,17893888
cloud-2c16m,133M,2024-12-11T00:21:45Z,2024-12-11T00:23:07Z,52,0.018459963999551035,17717248.000000004
cloud-2c16m,133M,2024-12-11T00:18:20Z,2024-12-11T00:19:43Z,54,0.010595613258871586,22332871.11111111
cloud-2c16m,133M,2024-12-11T00:15:52Z,2024-12-11T00:17:18Z,60,0.018630637149143484,28436024.88888889
cloud-2c16m,159M,2024-10-30T23:11:52Z,2024-10-30T23:13:58Z,96,0.046378504771697054,33599055.64444445
cloud-2c16m,145M,2024-10-30T23:09:04Z,2024-10-30T23:11:12Z,98,0.018379486779148316,52181302.30303031
cloud-2c16m,133M,2024-10-30T23:04:11Z,2024-10-30T23:05:40Z,60,0.018768882829188534,18455698.285714284
cloud-4c8m,133M,2024-12-11T22:11:38Z,2024-12-11T22:12:53Z,45,0.010285205696202547,29198335.999999996
cloud-4c8m,159M,2024-12-11T21:47:46Z,2024-12-11T21:49:19Z,66,0.022128070708934418,18387672.177777782
cloud-4c8m,159M,2024-12-11T21:45:05Z,2024-12-11T21:46:39Z,65,0.015761010928755162,39152047.15789473
cloud-4c8m,159M,2024-12-11T21:42:14Z,2024-12-11T21:43:47Z,67,0.022343329349085138,22306575.058823526
cloud-4c8m,159M,2024-12-11T21:39:56Z,2024-12-11T21:41:32Z,67,0.022723949793389285,51378176.000000015
cloud-4c8m,145M,2024-12-11T21:36:45Z,2024-12-11T21:38:15Z,63,0.019890984590801127,33155481.6
cloud-4c8m,145M,2024-12-11T21:34:48Z,2024-12-11T21:36:19Z,64,0.023165658333300143,18387763.2
cloud-4c8m,145M,2024-12-11T21:31:36Z,2024-12-11T21:33:03Z,59,0.012799149456245395,49392708.26666667
